Census District	Census Map Code	Race: Total	Race: Black	Race: White	Race: Mixed / Other	Race: Not Stated	Median Annual Household Income	Religion: Total	Religion: None	Religion: Anglican	Religion: Roman Catholic	Religion: AME	Religion: Non Denomination	Religion: Seventh Day Adventist	Religion: Other/ Not Stated	Status: Bermudian	Status: Non-Bermudian	Status: Not Stated	Health: Seeing Difficulties	Health: High Blood Pressure	Health: Asthma	Health: Arthritis	Health: Diabetes Type II	Health: Seeing Difficulties with Lenses	Health: Back Spine Problem	Health: Heart Condition	Health: Cancer	"Health: Stomach, Kidney, Liver"	Health: Diabetes Type I	Health: Hearing Difficulties	Health: Moving Mobility Difficulty	Health: Mental  Emotional disorder	Health: Other respiratory/Lung Problem	Health: Body Movement Difficulty	Health: No Limited use of Leg(s)	Health: Learning difficulties	Health: Speaking Difficulties	Health: Epilepsy	Health: Senility Alzheimers	Health: Gripping Holding Difficulty	Health: Learning Disabled	Health: Sickle-Cell Anemia	Health: Muscular Disease Impairment	Health: No/limited use of Arms	Health: Alcohol Dependency	Health: Behavioural Difficulty	Health: Lupus	Health: Drug Dependency	Health: Autism/PD	Health: Complete Blindness	Health: Complete Deafness	Health: Other Conditions	Health: Not Stated
CD101	1-01	229	156	19	54	0	"$86,000"	194	26	27	17	26	33	17	48	203	26	0	12	19	22	6	9	3	9	3	5	2	4	1	2	2	0	0	1	1	0	1	0	0	2	2	0	0	0	1	0	0	0	0	0	3	1
CD102	1-02	286	111	130	45	0	"$119,200"	263	47	74	45	12	10	8	67	251	35	0	28	37	21	12	7	7	10	7	9	4	5	3	4	1	2	2	0	2	1	2	1	2	1	0	1	0	0	0	0	0	0	0	0	14	4
CD103	1-03	283	171	76	36	0	"$86,571"	253	99	16	18	27	13	16	64	250	32	1	40	31	22	22	19	17	9	11	3	4	2	1	2	9	5	0	0	8	0	1	0	0	3	0	1	0	1	1	0	1	0	2	3	16	1
CD104	1-04	153	67	40	46	0	"$99,600"	130	27	15	27	11	9	10	31	130	23	0	18	13	8	5	5	19	11	6	5	1	2	3	4	0	2	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	7	0
CD105	1-05	373	272	39	62	0	"$99,000"	363	41	53	50	87	31	28	73	346	27	0	10	35	41	22	17	2	2	5	1	4	5	4	2	2	0	0	1	1	0	2	1	2	1	2	0	2	1	0	1	1	0	1	0	15	0
CD106	1-06	178	113	40	25	0	"$94,000"	167	47	31	17	18	6	23	25	159	19	0	7	19	19	6	4	4	1	10	2	0	3	3	3	1	1	4	3	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	6	0
CD107	1-07	130	70	42	17	1	"$78,000"	106	8	23	16	14	14	5	26	104	25	1	28	20	10	6	10	7	8	2	3	0	0	3	2	0	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	6	3
CD108	1-08	91	45	26	20	0	"$120,000"	81	20	16	19	8	0	4	14	68	22	1	15	10	6	4	0	1	1	2	1	1	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
CD109	1-09	174	90	53	31	0	"$99,000"	146	14	26	16	19	23	8	40	142	32	0	39	18	9	9	4	4	6	5	2	0	2	1	2	0	1	1	0	2	0	1	1	0	0	2	0	1	1	0	0	1	0	0	0	4	3
CD110	1-10	127	48	71	8	0	"$88,800"	103	21	14	25	8	7	9	19	108	19	0	15	7	4	7	4	5	8	4	2	0	1	0	2	2	2	2	0	2	0	2	0	0	0	0	1	0	1	0	0	1	0	0	0	3	2
CD111	1-11	292	213	22	53	4	"$120,923"	275	27	29	7	43	44	34	91	269	23	0	38	30	42	21	14	20	18	5	3	6	5	5	3	1	2	2	1	2	0	0	1	2	0	0	1	1	0	0	1	2	1	0	0	15	0
CD112	1-12	315	222	48	44	1	"$101,000"	304	65	66	12	34	35	25	67	286	29	0	32	39	22	17	14	3	13	4	12	5	5	5	8	3	4	2	2	3	3	1	2	1	1	0	1	3	4	0	1	5	0	0	0	10	0
CD113	1-13	241	160	23	58	0	"$83,143"	220	52	35	9	22	31	20	51	210	30	1	14	18	10	7	6	5	7	4	3	1	1	3	2	2	0	3	2	1	0	1	0	0	1	0	1	1	1	0	1	1	0	0	0	12	5
CD114	1-14	271	219	16	36	0	"$91,500"	258	42	44	2	39	16	36	79	259	12	0	27	41	34	17	15	36	16	10	9	7	5	2	4	6	2	2	0	3	0	1	3	1	0	1	1	0	1	0	1	1	0	0	0	33	0
CD115	1-15	475	215	165	90	5	"$102,750"	440	91	91	38	50	10	47	113	362	113	0	71	47	27	24	24	14	23	20	10	11	7	10	1	2	3	3	5	4	2	1	0	2	0	1	2	0	1	0	1	0	0	1	1	27	2
CD116	1-16	307	91	144	68	4	"$128,000"	299	74	70	36	20	22	14	63	264	41	2	33	47	24	11	15	88	11	11	13	9	4	5	3	5	3	1	1	1	0	5	0	1	0	1	0	0	3	0	0	1	0	0	0	31	0
CD117	1-17	194	57	91	39	7	"$121,333"	187	48	68	22	7	4	11	27	159	35	0	18	27	12	14	10	1	9	3	5	1	3	5	0	4	1	1	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	5	0
CD118	1-18	154	76	36	42	0	"$108,000"	133	20	20	11	29	11	4	38	138	16	0	7	16	13	5	9	9	4	0	2	1	6	0	1	1	0	0	0	1	0	0	1	0	0	0	2	0	2	0	0	1	0	0	0	6	0
CD119	1-19	319	198	46	66	9	"$108,000"	313	70	31	28	30	33	30	91	297	22	0	1	32	31	12	16	49	14	3	5	6	4	3	13	2	3	3	2	2	1	2	0	1	1	0	0	2	2	2	0	2	0	0	0	18	2
CD120	1-20	635	445	61	127	2	"$90,000"	565	98	65	36	100	67	49	150	602	32	1	131	85	66	28	30	21	24	8	10	6	4	6	16	6	4	3	8	4	8	3	2	3	7	1	2	1	0	2	0	0	2	0	1	34	2
CD121	1-21	431	234	59	135	3	"$96,400"	375	67	86	39	42	29	32	80	397	33	1	33	50	35	14	26	18	4	16	2	6	12	2	6	3	4	2	4	1	0	2	1	3	1	3	1	2	0	0	0	0	0	0	1	28	0
CD122	1-22	205	6	170	28	1	"$372,500"	193	37	52	56	0	12	2	34	83	122	0	15	10	11	3	1	15	6	4	2	2	1	2	0	1	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	11	10
CD123	1-23	444	359	26	58	1	"$67,241"	444	101	50	18	58	45	37	135	390	53	1	111	58	56	23	23	8	13	14	12	11	3	8	6	15	3	4	9	4	1	3	0	0	2	1	2	4	3	2	0	2	0	0	0	13	7
CD124	1-24	115	91	5	19	0	"$28,500"	115	51	6	1	12	5	3	37	114	1	0	1	7	18	7	1	0	4	5	0	1	3	1	2	0	0	1	1	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	1	3	0
CD201	2-01	152	7	130	15	0	"$203,400"	148	49	31	40	0	5	0	23	69	82	1	11	10	3	9	5	3	3	4	4	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	10	1
CD202	2-02	198	37	118	42	1	"$71,250"	191	44	40	54	3	6	5	39	97	99	2	35	17	10	9	7	3	4	6	2	0	1	1	1	1	0	1	0	0	1	1	0	1	1	0	0	1	0	0	0	0	0	0	0	8	1
CD203	2-03	209	121	47	40	1	"$108,000"	200	15	47	32	25	18	15	48	167	41	1	54	17	29	5	8	1	6	7	3	2	1	1	0	1	0	1	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	4	0
CD204	2-04	522	345	117	59	1	"$95,539"	455	96	49	55	75	30	37	113	445	72	5	59	50	36	23	18	16	10	15	5	5	5	10	6	4	2	2	2	3	0	3	3	2	2	1	1	0	1	1	1	1	0	2	0	24	7
CD205	2-05	450	200	208	40	2	"$140,000"	423	97	97	56	44	8	31	90	325	125	0	55	49	27	19	14	12	13	12	9	7	8	4	5	5	1	4	0	4	1	2	0	0	0	0	2	1	2	0	2	2	0	0	0	14	2
CD206	2-06	311	224	35	47	5	"$105,818"	298	34	58	28	48	39	15	76	252	59	0	10	56	15	10	10	0	5	3	4	3	3	3	1	2	0	1	0	0	2	1	1	2	1	1	0	0	0	0	0	0	0	0	0	5	1
CD207	2-07	316	239	46	31	0	"$93,750"	284	54	32	15	50	39	11	83	275	41	0	43	45	15	15	13	12	8	7	5	2	4	2	3	1	1	1	3	2	2	1	1	1	1	0	0	2	1	0	2	2	0	0	0	17	1
CD208	2-08	640	502	95	43	0	"$103,333"	580	53	51	61	103	114	39	159	539	101	0	23	61	35	16	15	8	10	9	4	4	12	6	2	6	1	3	2	3	0	3	2	1	1	2	1	0	0	1	1	0	0	0	0	18	0
CD209	2-09	488	365	62	61	0	"$103,636"	444	84	32	68	75	40	48	97	431	56	1	55	76	36	25	24	4	12	13	10	3	5	4	4	3	2	0	3	2	0	0	0	0	1	1	0	1	1	0	2	0	0	0	0	31	5
CD210	2-10	377	274	22	81	0	"$99,750"	369	86	33	61	48	36	28	77	285	92	0	52	51	32	22	17	6	13	8	5	10	0	7	1	1	0	2	2	1	1	1	0	0	0	4	1	1	2	0	0	0	0	1	0	24	3
CD211	2-11	638	451	116	71	0	"$92,333"	583	125	56	58	74	71	31	168	541	96	1	93	81	62	25	33	33	22	13	9	4	6	7	10	15	4	4	3	5	3	2	1	0	1	1	1	2	0	2	0	1	1	0	0	32	3
CD212	2-12	560	229	233	96	2	"$131,111"	533	89	84	134	57	48	23	98	402	158	0	126	58	50	19	20	15	14	17	5	3	1	7	7	2	1	3	6	3	9	0	4	1	0	1	3	2	0	4	1	0	1	0	0	20	3
CD213	2-13	336	197	97	41	1	"$116,800"	311	69	41	48	25	36	10	82	255	80	1	35	35	18	5	11	9	6	7	2	3	1	1	1	2	1	1	1	1	0	0	3	0	1	1	0	0	0	0	1	0	0	1	0	28	2
CD214	2-14	380	144	185	49	2	"$142,286"	339	82	61	50	25	29	8	84	300	80	0	42	44	23	21	24	13	10	15	11	5	2	7	6	5	3	1	2	1	1	1	0	0	2	0	0	0	1	0	1	0	2	1	0	22	1
CD215	2-15	285	109	110	66	0	"$130,154"	266	58	37	63	17	20	12	59	174	111	0	24	27	14	17	15	2	19	8	7	1	4	4	5	7	0	4	1	1	0	4	2	1	1	0	2	1	1	1	0	1	1	0	0	9	1
CD301	3-01	355	204	105	45	1	"$119,143"	355	62	51	39	58	33	22	90	263	92	0	21	42	23	9	15	18	12	9	2	5	5	2	3	4	2	3	1	1	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	19	0
CD302	3-02	319	202	70	46	1	"$101,143"	319	40	37	53	44	18	25	102	260	59	0	46	43	24	21	14	19	11	8	7	7	3	7	3	1	2	2	3	1	1	0	0	1	0	1	1	0	0	0	0	0	1	0	0	26	2
CD303	3-03	304	146	122	34	2	"$117,818"	304	28	56	40	15	24	8	133	240	59	5	30	42	21	13	14	17	7	9	1	2	2	1	2	4	2	1	2	2	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	14	5
CD304	3-04	228	40	152	36	0	"$166,395"	228	48	56	38	18	9	2	57	142	85	1	4	28	12	6	9	11	11	7	2	2	0	5	0	5	0	1	0	2	2	0	2	0	0	0	1	0	0	0	0	0	0	0	0	10	0
CD305	3-05	330	118	157	55	0	"$138,316"	330	64	60	54	23	39	19	71	248	82	0	47	26	21	12	13	16	8	11	10	4	3	3	2	2	3	1	1	2	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	12	0
CD306	3-06	213	39	145	27	2	"$129,818"	213	21	47	76	8	14	6	41	147	66	0	14	22	17	9	6	9	10	6	0	4	2	2	2	1	2	2	1	2	0	1	1	1	0	0	1	0	0	1	0	0	0	0	0	18	0
CD307	3-07	181	35	117	25	4	"$145,714"	181	33	42	52	5	16	3	30	148	33	0	15	21	8	10	6	9	3	6	3	2	2	2	1	1	3	0	0	1	0	0	1	1	1	0	1	0	1	0	0	0	0	0	0	7	1
CD308	3-08	271	73	133	53	12	"$109,200"	271	48	44	84	10	30	8	47	209	62	0	29	29	12	13	21	18	13	13	5	6	10	3	6	1	1	3	0	1	0	1	1	2	1	0	3	1	0	0	1	0	0	0	0	14	0
CD309	3-09	390	159	183	44	4	"$130,000"	390	74	85	76	30	39	10	76	277	113	0	33	47	23	16	12	15	13	8	5	3	4	6	3	3	2	1	0	0	6	4	1	1	6	2	1	0	0	4	1	0	2	1	1	20	5
CD310	3-10	324	111	169	41	3	"$119,000"	324	53	60	104	15	19	13	60	257	66	1	24	40	15	15	8	24	14	11	5	3	5	3	2	2	1	0	0	4	1	1	0	1	0	6	1	0	0	0	0	0	0	0	0	20	2
CD311	3-11	334	28	249	56	1	"$232,367"	334	58	71	97	2	1	7	98	191	143	0	24	28	24	9	7	17	6	12	7	2	2	5	4	2	2	1	0	2	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	6	5
CD312	3-12	173	29	111	32	1	"$158,469"	173	21	52	38	1	10	4	47	110	61	2	12	20	11	2	6	12	8	6	2	4	4	4	1	1	4	1	2	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	6	0
CD313	3-13	328	76	207	41	4	"$128,667"	328	45	61	111	11	27	4	69	261	63	4	50	53	21	16	14	24	15	21	7	9	5	7	5	4	3	0	1	6	2	2	1	3	1	0	2	0	1	0	0	0	0	0	0	6	1
CD314	3-14	190	57	107	26	0	"$120,000"	190	33	31	41	18	19	7	41	138	52	0	16	25	11	17	9	14	14	13	7	6	3	4	4	2	2	2	3	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	4	0
CD315	3-15	154	96	35	22	1	"$85,500"	154	13	32	29	16	10	9	45	123	31	0	8	25	12	12	12	7	6	7	4	1	9	5	3	0	2	1	1	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	10	1
CD316	3-16	341	231	75	35	0	"$112,286"	341	45	50	40	44	56	31	75	279	62	0	61	49	30	15	17	21	12	8	2	5	5	3	7	2	2	2	1	1	1	0	1	1	0	1	1	0	0	0	1	0	0	0	0	20	3
CD317	3-17	205	65	101	39	0	"$108,000"	205	48	26	56	12	9	10	44	152	53	0	65	23	17	11	12	9	6	7	5	2	3	0	3	2	3	0	2	1	1	0	0	1	1	0	2	0	1	0	0	2	0	0	0	16	0
CD318	3-18	262	94	112	55	1	"$113,539"	262	40	53	66	12	25	13	53	205	57	0	26	36	12	12	15	22	8	8	2	3	4	3	2	2	3	2	2	3	1	0	1	1	1	0	0	0	0	2	1	1	0	0	1	19	1
CD319	3-19	308	71	174	60	3	"$166,773"	308	42	71	70	21	17	5	82	209	98	1	80	32	15	11	9	11	14	12	7	1	4	6	6	3	2	2	4	5	1	3	2	1	0	0	0	2	1	0	0	0	0	0	0	15	1
CD320	3-20	196	45	137	14	0	"$128,571"	196	39	53	40	4	13	5	42	138	58	0	15	25	12	9	3	12	4	10	6	2	2	6	3	2	0	1	1	1	0	0	0	2	0	0	0	1	0	1	0	0	0	1	0	10	0
CD401	4-01	330	262	19	49	0	"$84,000"	329	95	28	19	20	26	37	104	265	64	1	14	37	27	14	14	5	9	5	3	2	5	2	5	3	0	1	1	1	0	1	0	1	0	0	0	1	2	3	0	1	0	0	1	13	2
